0-att_sum,1-att_sum,2-att_sum,3-att_sum,4-att_sum,5-att_sum,6-att_sum,0-att_cnt,1-att_cnt,2-att_cnt,3-att_cnt,4-att_cnt,5-att_cnt,6-att_cnt,0-att_sum_min,1-att_sum_min,2-att_sum_min,3-att_sum_min,4-att_sum_min,5-att_sum_min,6-att_sum_min,0-att_sum_max,1-att_sum_max,2-att_sum_max,3-att_sum_max,4-att_sum_max,5-att_sum_max,6-att_sum_max,0-att_sum_avg,1-att_sum_avg,2-att_sum_avg,3-att_sum_avg,4-att_sum_avg,5-att_sum_avg,6-att_sum_avg,7-att_sum
2598.88,2598.88,2598.88,2598.88,2598.88,2598.88,2598.88,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.2685714285714,371.2685714285714,371.2685714285714,371.2685714285714,371.2685714285714,371.2685714285714,371.2685714285714,2598.88
2116.55,2116.55,2116.55,2116.55,5967.93,31196.86,61856.88000000001,8.0,8.0,8.0,8.0,16.0,63.0,114.0,0.0,0.0,0.0,0.0,54.5,5.9,80.0,0.0,0.0,0.0,0.0,1124.12,2084.0,2293.65,264.56875,264.56875,264.56875,264.56875,372.995625,495.188253968254,542.6042105263158,69066.54000000001
39778.36,54849.64,65185.25,89667.70999999998,105981.16,112789.94999999998,146087.81,48.0,61.0,73.0,95.0,117.0,141.0,197.0,172.0,239.0,136.17,71.9,24.0,26.0,12.99,2003.85,2281.0,3452.57,3400.0,2868.6,1454.59,5844.35,828.7158333333333,899.1744262295082,892.9486301369863,943.8706315789473,905.8218803418804,799.9287234042553,741.5624873096448,169485.7
1077.3,1177.2,1177.2,1177.2,1177.2,1177.2,1177.2,11.0,12.0,12.0,12.0,12.0,12.0,12.0,88.0,99.9,0.0,0.0,0.0,0.0,0.0,88.0,99.9,0.0,0.0,0.0,0.0,0.0,97.93636363636364,98.1,98.1,98.1,98.1,98.1,98.1,1177.2
63109.42999999999,73514.79999999999,88648.48999999998,115825.83,147973.69999999998,155047.69999999998,161800.99999999994,153.0,176.0,202.0,245.0,313.0,322.0,344.0,39.9,41.3,23.1,75.9,0.6,49.99,52.99,1369.76,1628.54,1684.89,2659.27,3598.22,2716.93,1195.0,412.47993464052286,417.6977272727272,438.8539108910891,472.75848979591836,472.75942492012774,481.51459627329183,470.35174418604635,168944.71999999994
7838.82,14646.14,20390.79,22861.21,23363.87,25634.34,25694.34,24.0,42.0,54.0,62.0,64.0,71.0,72.0,43.1,54.0,28.0,166.7,191.5,51.8,60.0,2004.0,2642.11,1117.4,571.98,311.16,587.3,60.0,326.6175,348.7176190476191,377.6072222222222,368.7291935483872,365.06046875,361.0470422535211,356.8658333333333,31052.15
17637.949999999993,23415.42,24411.51,33116.28,43564.33,48206.24000000001,53250.93000000001,22.0,30.0,34.0,46.0,56.0,66.0,78.0,88.0,27.79,37.0,144.0,216.0,70.0,39.99,5680.0,1707.0,441.09,2476.35,2659.0,1135.73,1272.0,801.7249999999998,780.5139999999999,717.985588235294,719.9191304347826,777.9344642857143,730.3975757575759,682.7042307692309,59743.71000000001
773.29,2194.29,3639.29,7649.08,7649.08,7649.08,7649.08,3.0,12.0,17.0,29.0,29.0,29.0,29.0,60.0,5.0,110.0,50.0,0.0,0.0,0.0,235.0,310.0,680.0,677.52,0.0,0.0,0.0,257.7633333333333,182.8575,214.07588235294116,263.7613793103448,263.7613793103448,263.7613793103448,263.7613793103448,7649.08
37096.62,51169.98,60640.26,60817.06999999999,60817.06999999999,76820.29,76820.29,63.0,86.0,111.0,112.0,112.0,144.0,144.0,0.0,103.79,31.0,176.81,0.0,31.0,0.0,0.0,2428.52,1059.34,176.81,0.0,1490.44,0.0,588.8352380952381,594.9997674418604,546.3086486486486,543.0095535714286,543.0095535714286,533.4742361111109,533.4742361111109,76820.29
77709.03,90242.26,107911.01,128429.37,150144.7,162578.89,172119.67,231.0,273.0,318.0,362.0,414.0,478.0,509.0,24.0,20.0,20.0,33.98,15.9,24.0,3.0,1946.78,1148.36,1873.68,2400.0,2529.0,722.0,2182.0,336.40272727272725,330.55772893772894,339.34279874213837,354.7772651933702,362.66835748792266,340.1232008368201,338.15259332023584,184579.45
106633.7,124846.22,145395.59,150754.75,175894.98,189873.07,203339.25,242.0,283.0,334.0,347.0,393.0,419.0,448.0,36.0,22.04,27.0,12.7,75.0,55.0,32.97,3093.2,3263.24,2798.34,2227.03,2964.69,3802.02,2583.4,440.6351239669422,441.15272084805656,435.31613772455086,434.45172910662825,447.5699236641221,453.15768496420054,453.88225446428567,231293.49
3781.22,4222.1500000000015,4222.1500000000015,5705.1500000000015,6117.1500000000015,10590.09,11494.9,27.0,31.0,31.0,38.0,40.0,54.0,58.0,35.0,62.99,0.0,110.0,104.0,34.0,119.98,254.95,125.98,0.0,399.0,308.0,920.0,431.0,140.0451851851852,136.19838709677418,136.19838709677418,150.13552631578952,152.92875,196.11277777777775,198.18793103448277,11494.9
3288.71,3288.71,3288.71,3288.71,3288.71,3288.71,3288.71,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.05916666666667,274.05916666666667,274.05916666666667,274.05916666666667,274.05916666666667,274.05916666666667,274.05916666666667,3288.71
29609.620000000006,45690.38000000001,49503.60000000001,57221.17000000001,57661.72000000001,58996.72000000001,58996.72000000001,57.0,90.0,96.0,106.0,107.0,108.0,108.0,103.8,98.0,305.3,260.96,440.55,1335.0,0.0,1109.9,1480.0,1178.66,1335.0,440.55,1335.0,0.0,519.4670175438597,507.67088888888895,515.6625,539.8223584905661,538.8945794392524,546.265925925926,546.265925925926,58996.72000000001
27880.61,28133.61,28133.61,28133.61,28133.61,28133.61,28133.61,27.0,28.0,28.0,28.0,28.0,28.0,28.0,0.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,0.0,1032.6151851851848,1004.7717857142856,1004.7717857142856,1004.7717857142856,1004.7717857142856,1004.7717857142856,1004.7717857142856,28133.61
27720.45,28062.45,41393.78,42946.58,53801.76,61440.67,69941.59,44.0,45.0,59.0,63.0,91.0,117.0,144.0,31.92,342.0,191.0,240.0,12.99,33.98,5.0,849.0,342.0,2495.0,564.8,1999.0,825.6,1287.0,630.0102272727273,623.61,701.5894915254237,681.6917460317461,591.2281318681319,525.1339316239316,485.70548611111116,75486.01999999999
22729.31,33519.49,39235.1,44583.02,48276.28,54361.21,68807.0,63.0,95.0,115.0,123.0,136.0,143.0,159.0,107.77,34.0,50.0,124.57,47.8,239.78,28.57,1954.6,1592.1,711.0,2269.37,1096.91,2498.0,3569.5,360.7826984126984,352.83673684210527,341.17478260869564,362.46357723577233,354.9726470588235,380.1483216783217,432.748427672956,88709.33
